Date,GOOGL,AMZN,BALL,EQIX,HON,MA,NEE,SLB,NVDA,PG,UNH
2017-02-01,0.03016374254745835,0.02618157089425366,-0.03579858379228962,-0.02314405943165887,0.05223202739288291,0.03884134298880837,0.05884254768832853,-0.04001911360649857,-0.07052573731452638,0.03961187214611872,0.020234423195558238
2017-03-01,0.003396731090149485,0.0491101012969799,0.009927920576635385,0.06461563006887028,0.0029714266539151435,0.018196632265073287,-0.020076335877862506,-0.028123444499751238,0.07343318880567606,-0.013396288569232473,-0.008283952110291426
2017-04-01,0.0904930408115121,0.043370857490919734,0.03541610557500663,0.043284961410695155,0.050212368743737246,0.03423135058237747,0.04043000701098376,-0.07055057618437888,-0.042521940293026916,-0.02804674457429046,0.06627644655813669
2017-05-01,0.06767836282611528,0.07527648947556198,0.06385745870724402,0.05580560210677521,0.01410726715801447,0.056396148555708514,0.0589997005091345,-0.04132800661248104,0.38400767018216686,0.008702622237489965,0.0017154620311070623
2017-06-01,-0.05816085665947379,-0.02676399026763998,0.0320293398533007,-0.02687013899911561,0.002255544028266554,-0.01163736979166663,-0.009261877828054321,-0.053887052737462304,0.0014409221902016434,-0.010670904756499011,0.058454161433953544
2017-07-01,0.017016607865071753,0.020433884297520688,-0.0073442312248283015,0.05026097492776582,0.021232131229239615,0.052284890901605596,0.042531934632127344,0.0419198055893073,0.12418372993912574,0.04211130235226612,0.03446230180131593
2017-08-01,0.010301427815970321,-0.007268825042013427,-0.045584725536992776,0.039225256805626385,0.015794824576547573,0.04303599374021916,0.03025532206174275,-0.07419825072886288,0.04263069804076003,0.015965646333406802,0.03696366195714518
2017-09-01,0.019345923537540388,-0.019630838262288397,0.03275818954738674,-0.04720223735616236,0.02509555391053442,0.059264816204050774,-0.026310544149890203,0.09840969925995924,0.05507554296506134,-0.013980708789422258,-0.015334338863750685
2017-10-01,0.060921003984718336,0.14971654444271087,0.039467312348668404,0.03853909926058696,0.01707338460506813,0.053611898016997284,0.05813715455475932,-0.0825688073394496,0.15684782851900758,-0.051000219828533755,0.07337247893796284
2017-11-01,0.0030298923565399427,0.06466234800231607,-0.07034707663638484,0.002135922330097184,0.08185383404346913,0.011427035020501464,0.01915264074289036,-0.017968749999999978,-0.029495387114867544,0.04227472782024555,0.08538673770335836
2017-12-01,0.01662854550894166,-0.006186530698958914,-0.05161613630668993,-0.024263170358888253,-0.01667122054710868,0.005914800292417199,-0.011705897241204744,0.0722354813046937,-0.03593208178883178,0.02100233359262149,-0.03379059473199797
2018-01-01,0.1222897284981963,0.2406389219047944,0.011360634081902132,0.004346674904019965,0.04114515867599966,0.11654334038054959,0.014277482553300302,0.09185339071078791,0.2702842377260981,-0.06029603831084018,0.07402703438265434
2018-02-01,-0.06623132750249527,0.04242912970659396,0.0436259143155695,-0.13860146312528832,-0.05361036086274251,0.040000000000000036,-0.03957833606867811,-0.10790975808643655,-0.015459723352318933,-0.09057215659022477,-0.044851761128473666
2018-03-01,-0.06049351402275527,-0.04304935700353729,-0.006007509386733445,0.06641162968630443,-0.04367720120873986,-0.003413746017296271,0.07348011830430501,-0.013101767215112692,-0.04300826446280992,0.009679062659195159,-0.05376724442872305
2018-04-01,-0.01789536610293685,0.0820747025577957,0.009569377990430672,0.006337590280767191,0.0011766372459172114,0.0177551952500572,0.003551092879446438,0.058351343007100986,-0.028895644063698267,-0.08753784056508573,0.1046728971962616
2018-05-01,0.0799348112077598,0.04053941882219214,-0.07832377151409331,-0.056892987000641604,0.022325502154151744,0.06647220508217866,0.01159172716734802,0.0016044340723453399,0.12135171187194316,0.01147359690351113,0.021615905245346845
2018-06-01,0.02653636363636358,0.04306525447650378,-0.03788903924221931,0.08325563815043457,-0.02609737049114591,0.03366294971596884,0.007357819190639825,-0.02388233580894128,-0.060636340565918045,0.06683066830668305,0.015858556581508143
2018-07-01,0.08681444221078816,0.045675961877868154,0.09620253164556969,0.021842796994580027,0.1082961136890952,0.007531040097700004,0.003053343710710532,0.007310159630016244,0.03360067539046008,0.036126056879323576,0.03211869242683618
2018-08-01,0.0037320121901534,0.1323645242596092,0.07467282525019248,-0.007170824986341251,-0.0036956302721119494,0.0886868686868687,0.015279933150292413,-0.06457345971563977,0.14628767458956138,0.025593471810089197,0.060184819524524036
2018-09-01,-0.02006819288845596,-0.0048243413109686495,0.05038204393505241,-0.007428977598422537,0.046145774578062015,0.032705511226572614,-0.014697236919459122,-0.03546548448385045,0.0012113438791505615,0.0033755274261604296,-0.00901437830589269
2018-10-01,-0.09651390131557136,-0.20219171243135303,0.018413275744487256,-0.12508951465730322,-0.09100552414057606,-0.11203449979785285,0.02923627684964214,-0.15774786605384106,-0.2497615828054942,0.06548119668388797,-0.01762892798075477
2018-11-01,0.017486108309340054,0.057671729213208955,0.09620535714285716,0.01726778264772655,0.01332688855130515,0.017200384479182595,0.05339130434782624,-0.12102903917365038,-0.22482355619640293,0.0657419936851602,0.07656399464319863
2018-12-01,-0.05829766142477366,-0.11134974588355018,-0.06373447363062523,-0.08492524916943511,-0.09969335604770013,-0.06176953299845822,-0.04342083539706132,-0.20000000000000007,-0.1831465074159283,-0.02740450745952816,-0.11458629513790164
2019-01-01,0.07744794059102755,0.14431713016904446,0.13701609395389314,0.11754027683231216,0.08711777172267632,0.11916247018287818,0.02968588194684152,0.22533259423503327,0.0767940074906368,0.04949956483899043,0.08461785484906859
2019-02-01,0.0005862029150272008,-0.04590598872423235,0.047819433817903656,0.0748730964467006,0.07268676460349499,0.06460474589115717,0.04883227176220806,-0.0033928975344944545,0.07309811341755257,0.021561107079921094,-0.10355292376017766
2019-03-01,0.044685100528161215,0.08593573724105541,0.05622489959839361,0.07003541912632838,0.03147919776724861,0.04751523779863853,0.029831664180694606,-0.011121198365864782,0.1640088162841955,0.05580923389142578,0.02080753034431515
2019-04-01,0.0187528146215874,0.08185876737329778,0.03594884203249227,0.003398358195780604,0.09256229549458861,0.07980462943300082,0.005793503000206979,-0.020426899242598107,0.008019603475161619,0.02335415665545426,-0.05738898325649111
