Ticker,Weight,2017,2018,2019,2020,2021,2022
GOOGL,0.1731,0.3292952236734179,-0.008012151129675238,0.2817619813198595,0.308535975332054,0.6529578236260722,-0.3908955347527132
AMZN,0.1296,0.559563657700668,0.2843168272807346,0.230277568792985,0.762560611308339,0.023767781315534142,-0.4961521620470617
BALL,0.05,0.008392167310510068,0.2147952443857324,0.40648107872988315,0.4408535642492655,0.033161622665808466,-0.46878570686610543
EQIX,0.02,0.26806748552083026,-0.22209964255769843,0.6556047197640118,0.22353948946376545,0.18435128399003098,-0.22558639931902025
HON,0.1,0.3237799100433554,-0.10020717300784976,0.3396911898274293,0.2016949152542371,-0.01969910672308428,0.027768452352405326
MA,0.1,0.46595641646489083,0.24636627906976738,0.5827723297111045,0.19541846679393116,0.006667787303187955,-0.03225537125681821
NEE,0.05,0.30746693453875795,0.1128753441321464,0.39316534345875054,0.2743640568219363,0.21011017498379747,-0.10454155955441313
SLB,0.02,-0.1972602739726027,-0.4646089924321115,0.11419068736141913,-0.4569651741293531,0.37196518552450697,0.7849749582637724
NVDA,0.2192,0.8128161888701522,-0.3100775193798453,0.7625468164794011,1.2192945176370595,1.2528533129069328,-0.5031110808881031
PG,0.0381,0.09276879162702212,0.00043535045711817766,0.35879025239338524,0.11401120896717365,0.1756504240333483,-0.07348086563149525
UNH,0.1,0.3775306173456636,0.13000090719404866,0.1800738599871552,0.19287026328321666,0.43190372989620207,0.05584100051778407
